train_loss,val_loss,val_psnr,val_ssim,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.017257945005508524,0.013723215008897898,19.03868016015726,0.5479337808514635,1727418606,,False,1,b39b0_00004,2024-09-27_13-30-06,131.5130259990692,131.5130259990692,3753094,prism-2.apex.cmkl.ac.th,172.16.101.112,131.5130259990692,1
0.013432762604437274,0.011941457183973138,19.648350734526772,0.5874552412802975,1727418751,,False,2,b39b0_00004,2024-09-27_13-32-31,144.31507444381714,275.82810044288635,3753094,prism-2.apex.cmkl.ac.th,172.16.101.112,275.82810044288635,2
0.012100369672639834,0.012060610974215872,19.571452008038083,0.5983712612291177,1727418886,,False,3,b39b0_00004,2024-09-27_13-34-46,135.78697180747986,411.6150722503662,3753094,prism-2.apex.cmkl.ac.th,172.16.101.112,411.6150722503662,3
0.011458529479994414,0.011852122701270163,19.75130245525105,0.6050546041627725,1727419032,,False,4,b39b0_00004,2024-09-27_13-37-12,145.55794095993042,557.1730132102966,3753094,prism-2.apex.cmkl.ac.th,172.16.101.112,557.1730132102966,4
0.011026006201397381,0.011229504914661962,19.835583665993475,0.6068549393067757,1727419193,,False,5,b39b0_00004,2024-09-27_13-39-53,161.47264909744263,718.6456623077393,3753094,prism-2.apex.cmkl.ac.th,172.16.101.112,718.6456623077393,5
0.010673845397398563,0.009959636107838876,20.455198908952894,0.6196032443294922,1727419336,,False,6,b39b0_00004,2024-09-27_13-42-16,142.4071388244629,861.0528011322021,3753094,prism-2.apex.cmkl.ac.th,172.16.101.112,861.0528011322021,6
0.010727813065102317,0.009940706185094444,20.386917102825052,0.6184668357719978,1727419466,,False,7,b39b0_00004,2024-09-27_13-44-26,130.54026103019714,991.5930621623993,3753094,prism-2.apex.cmkl.ac.th,172.16.101.112,991.5930621623993,7
0.010387990931708982,0.013842332790785306,19.103120658551365,0.5902397742817799,1727419618,,False,8,b39b0_00004,2024-09-27_13-46-58,151.332701921463,1142.9257640838623,3753094,prism-2.apex.cmkl.ac.th,172.16.101.112,1142.9257640838623,8
0.010342924464892081,0.00980757630843619,20.491461061848565,0.6260241015255451,1727419759,,False,9,b39b0_00004,2024-09-27_13-49-19,141.2674880027771,1284.1932520866394,3753094,prism-2.apex.cmkl.ac.th,172.16.101.112,1284.1932520866394,9
0.010023708100649618,0.00980815190546248,20.45352098666579,0.6234873660504818,1727419903,,False,10,b39b0_00004,2024-09-27_13-51-43,143.595121383667,1427.7883734703064,3753094,prism-2.apex.cmkl.ac.th,172.16.101.112,1427.7883734703064,10
0.00990472480610717,0.01061402208635358,20.127846273016804,0.6167822046081225,1727420043,,False,11,b39b0_00004,2024-09-27_13-54-03,140.76881957054138,1568.5571930408478,3753094,prism-2.apex.cmkl.ac.th,172.16.101.112,1568.5571930408478,11
0.009903291429427565,0.010288376041642086,20.339569862011945,0.6227510832597812,1727420192,,False,12,b39b0_00004,2024-09-27_13-56-32,148.14236855506897,1716.6995615959167,3753094,prism-2.apex.cmkl.ac.th,172.16.101.112,1716.6995615959167,12
0.009697324358014844,0.00953074151048679,20.699683333205638,0.6364468201349179,1727420346,,False,13,b39b0_00004,2024-09-27_13-59-06,154.48474073410034,1871.184302330017,3753094,prism-2.apex.cmkl.ac.th,172.16.101.112,1871.184302330017,13
0.009737138283366696,0.010111749552257125,20.34154445352482,0.6286507895986239,1727420476,,False,14,b39b0_00004,2024-09-27_14-01-16,129.67474675178528,2000.8590490818024,3753094,prism-2.apex.cmkl.ac.th,172.16.101.112,2000.8590490818024,14
0.009606321056816556,0.009328017990635248,20.71922192490085,0.6274373933201035,1727420616,,False,15,b39b0_00004,2024-09-27_14-03-36,140.62227606773376,2141.481325149536,3753094,prism-2.apex.cmkl.ac.th,172.16.101.112,2141.481325149536,15
0.009554106926522454,0.009793994353140283,20.514456268812143,0.6237269008209309,1727420755,,False,16,b39b0_00004,2024-09-27_14-05-55,139.05843877792358,2280.5397639274597,3753094,prism-2.apex.cmkl.ac.th,172.16.101.112,2280.5397639274597,16
0.009512674888434608,0.009101379965536397,20.83595455990517,0.6326621004889409,1727420897,,False,17,b39b0_00004,2024-09-27_14-08-17,141.14033365249634,2421.680097579956,3753094,prism-2.apex.cmkl.ac.th,172.16.101.112,2421.680097579956,17
0.009445476412240948,0.009005718254755699,20.857915295809264,0.638165830925107,1727421059,,False,18,b39b0_00004,2024-09-27_14-10-59,162.4586079120636,2584.1387054920197,3753094,prism-2.apex.cmkl.ac.th,172.16.101.112,2584.1387054920197,18
0.009424533157036362,0.009291086945215014,20.714139679185234,0.6262359103461107,1727421194,,False,19,b39b0_00004,2024-09-27_14-13-14,135.07094025611877,2719.2096457481384,3753094,prism-2.apex.cmkl.ac.th,172.16.101.112,2719.2096457481384,19
0.009383223561676904,0.008986425226880028,20.877845776872576,0.6371552528887987,1727421323,,False,20,b39b0_00004,2024-09-27_14-15-23,128.77470064163208,2847.9843463897705,3753094,prism-2.apex.cmkl.ac.th,172.16.101.112,2847.9843463897705,20
0.009285255514935949,0.008911052545440706,20.868173270065444,0.6375614950011174,1727421464,,False,21,b39b0_00004,2024-09-27_14-17-44,140.60665774345398,2988.5910041332245,3753094,prism-2.apex.cmkl.ac.th,172.16.101.112,2988.5910041332245,21
0.009264119994000054,0.008854630025262388,20.911183082046318,0.6383251666724682,1727421595,,False,22,b39b0_00004,2024-09-27_14-19-55,131.69579815864563,3120.28680229187,3753094,prism-2.apex.cmkl.ac.th,172.16.101.112,3120.28680229187,22
